"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.874528402247188,0.875227786585666,0.878084192806789,10000,0.95,0.845109371870757,0.905845629232371,0.5,100,0.45,0.55,0,0,100
"theta[2]",0.943748720595031,0.944222172612782,0.946684303564037,10000,0.95,0.926903034071195,0.960610705407329,0.5,100,0.45,0.55,0,0,100
"theta[3]",0.931400998443759,0.932103527480895,0.933613706349204,10000,0.95,0.907206375366632,0.953985738499743,0.5,100,0.45,0.55,0,0,100
"theta[4]",0.927533027701514,0.928843741676061,0.931074047382713,10000,0.95,0.893261217847445,0.960378551927419,0.5,100,0.45,0.55,0,0,100
"theta[5]",0.933955253735297,0.934192965038503,0.935429165970259,10000,0.95,0.919681516839148,0.947991921789725,0.5,100,0.45,0.55,0,0,100
"theta[6]",0.89385643034007,0.89507388590114,0.900020964605765,10000,0.95,0.855061100974055,0.931920366450711,0.5,100,0.45,0.55,0,0,100
"theta[7]",0.950314226253854,0.950404854922849,0.950796752284265,10523,0.95,0.944001652192737,0.95609930418191,0.5,100,0.45,0.55,0,0,100
"theta[8]",0.888384911661421,0.889533152676913,0.889424784003474,10330,0.95,0.840878255164012,0.931751616804905,0.5,100,0.45,0.55,0,0,100
"theta[9]",0.957640004844033,0.957681722392493,0.957839747877167,10000,0.95,0.953852650362543,0.961165823239544,0.5,100,0.45,0.55,0,0,100
"theta[10]",0.887975994880464,0.888469200199737,0.888349564339667,10000,0.95,0.862736028926761,0.911974157457405,0.5,100,0.45,0.55,0,0,100
"theta[11]",0.783519412065704,0.783869635695588,0.782615495535761,10000,0.95,0.730332753522207,0.832598019358495,0.5,100,0.45,0.55,0,0,100
"theta[12]",0.915459519978407,0.916281987547121,0.920573108928145,10000,0.95,0.887466467110471,0.943189907712797,0.5,100,0.45,0.55,0,0,100
"theta[13]",0.950238216112436,0.950455778360069,0.950545833727786,10218.9,0.95,0.938889782653912,0.962447541029007,0.5,100,0.45,0.55,0,0,100
"theta[14]",0.940415863842831,0.940857644605374,0.942134497076765,10743.4,0.95,0.92388690919264,0.956282676815948,0.5,100,0.45,0.55,0,0,100
"theta[15]",0.91194723502107,0.91313349913108,0.914403887586504,10000,0.95,0.871502972656935,0.949727187126874,0.5,100,0.45,0.55,0,0,100
"theta[16]",0.943510867588728,0.944716215604625,0.94781211361164,10000,0.95,0.915160345644514,0.970434841428295,0.5,100,0.45,0.55,0,0,100
"theta[17]",0.967326710712272,0.967323401942381,0.96740850214085,10000,0.95,0.966119972531464,0.968532111527335,0.5,100,0.45,0.55,0,0,100
"theta[18]",0.898348449932262,0.899146222658353,0.901069545921427,9256.6,0.95,0.864465212248482,0.930183220084474,0.5,100,0.45,0.55,0,0,100
"theta[19]",0.956240577372687,0.956492809537862,0.956384106973324,10000,0.95,0.942027053611097,0.970513567898376,0.5,100,0.45,0.55,0,0,100
"theta[20]",0.939733025370651,0.940458904038248,0.942801044887917,10000,0.95,0.914402894965849,0.962704045122774,0.5,100,0.45,0.55,0,0,100
"theta[21]",0.943611732169785,0.943983263615831,0.945056994444593,10000,0.95,0.925940623104336,0.959741062745316,0.5,100,0.45,0.55,0,0,100
"theta[22]",0.939013303803352,0.939477918722944,0.940525731018006,10000,0.95,0.921125972455573,0.956365926523237,0.5,100,0.45,0.55,0,0,100
"theta[23]",0.774695158895411,0.775760525765697,0.778419438818645,10611.8,0.95,0.716599521960558,0.832054830353175,0.5,100,0.45,0.55,0,0,100
"theta[24]",0.922939966224129,0.923155041035381,0.923062690926433,10000,0.95,0.906204821630843,0.938135753812156,0.5,100,0.45,0.55,0,0,100
"theta[25]",0.90294138277742,0.904231215769537,0.90868993955308,10000,0.95,0.861538622059284,0.940747730991647,0.5,100,0.45,0.55,0,0,100
"theta[26]",0.889654461542746,0.890757147543013,0.889358492636831,10000,0.95,0.846000825384906,0.931121543294654,0.5,100,0.45,0.55,0,0,100
"theta[27]",0.931395896860703,0.932136006008232,0.93161641569948,10037.6,0.95,0.905420609146819,0.955032623953278,0.5,100,0.45,0.55,0,0,100
"theta[28]",0.87561888374693,0.875723363471647,0.875445040472576,10000,0.95,0.863361726557565,0.88739130725416,0.5,100,0.45,0.55,0,0,100
"theta[29]",0.953639409419595,0.953853658312025,0.954753759970819,10000,0.95,0.942017359621987,0.96507146917875,0.5,100,0.45,0.55,0,0,100
"theta[30]",0.911471130113199,0.913113874864717,0.914572520247466,10000,0.95,0.873042595960738,0.950765325106963,0.5,100,0.45,0.55,0,0,100
"theta[31]",0.898544684749361,0.900329179678425,0.903518450600968,10628.1,0.95,0.853621194051725,0.940476129560336,0.5,100,0.45,0.55,0,0,100
"theta[32]",0.921469088997135,0.922135404225333,0.923126112722978,9368.8,0.95,0.894936896585552,0.946108464372739,0.5,100,0.45,0.55,0,0,100
"theta[33]",0.920107847110682,0.92028092981431,0.920029043573712,10000,0.95,0.905119528508068,0.934152275181651,0.5,100,0.45,0.55,0,0,100
"theta[34]",0.869766167683391,0.870550340107593,0.871180616315269,10000,0.95,0.827571274247774,0.910900633592656,0.5,100,0.45,0.55,0,0,100
"theta[35]",0.874975730479821,0.875025790064279,0.874684391868136,8976.8,0.95,0.861712552612031,0.888126223839689,0.5,100,0.45,0.55,0,0,100
"theta[36]",0.852489058221667,0.852909353294561,0.851520929940009,10000,0.95,0.820762933340169,0.880664332571682,0.5,100,0.45,0.55,0,0,100
"theta[37]",0.908512570736003,0.909513932296751,0.911936701847565,10000,0.95,0.875368952553842,0.938701990230668,0.5,100,0.45,0.55,0,0,100
"theta[38]",0.956002925977824,0.956261237183653,0.956567412029674,10000,0.95,0.943095198142935,0.968202829718231,0.5,100,0.45,0.55,0,0,100
"theta[39]",0.957165775829835,0.958489769442477,0.960802330539555,10000,0.95,0.933690292974565,0.97847273758499,0.5,100,0.45,0.55,0,0,100
"theta[40]",0.878785968386499,0.87972761088528,0.879854907766167,10000,0.95,0.840689780173569,0.91454734882493,0.5,100,0.45,0.55,0,0,100
"theta[41]",0.909586927156004,0.909592924862625,0.909431090303079,10320,0.95,0.903340050713125,0.915713678277326,0.5,100,0.45,0.55,0,0,100
"theta[42]",0.926561263968955,0.927146255754925,0.929476032721591,9508.4,0.95,0.904740936135705,0.948594433250377,0.5,100,0.45,0.55,0,0,100
"theta[43]",0.924618430543473,0.92563348520508,0.926137786757702,10000,0.95,0.892917075918919,0.95649385425829,0.5,100,0.45,0.55,0,0,100
"theta[44]",0.895823096819838,0.897137815018205,0.902075692541182,10000,0.95,0.851163965367271,0.935341780573186,0.5,100,0.45,0.55,0,0,100
"theta[45]",0.917161459157502,0.91855339867776,0.922258006420338,10000,0.95,0.877093161585427,0.954879809099925,0.5,100,0.45,0.55,0,0,100
