"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.957595005112815,0.957530111409598,0.957946236337628,20417.9,0.95,0.950246744097166,0.965214489294487,0.5,100,NA,NA,NA,NA,NA
"kappa",121.834406829706,119.145073361435,112.423456740113,20000,0.95,66.0237541798997,182.968853831048,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.964383846227212,0.964463861985062,0.96503986679561,20000,0.95,0.95894605947752,0.969513229811814,0.5,100,NA,NA,NA,NA,NA
"theta[2]",0.954005016090957,0.95406287487865,0.953960899727721,20000,0.95,0.948153636847938,0.960000762916148,0.5,100,NA,NA,NA,NA,NA
"theta[3]",0.943594309371678,0.94365046540379,0.943752975989465,19551.3,0.95,0.936647412163621,0.950651886421129,0.5,100,NA,NA,NA,NA,NA
"theta[4]",0.953378842090503,0.95345058722348,0.953784332267748,20000,0.95,0.946772760068447,0.959612115724188,0.5,100,NA,NA,NA,NA,NA
"theta[5]",0.95702912848991,0.957089071388471,0.957098769503706,20000,0.95,0.951069244345247,0.962637645351713,0.5,100,NA,NA,NA,NA,NA
"theta[6]",0.960425575132094,0.960479232655664,0.960336650475277,20892.9,0.95,0.954970040821693,0.966002950599858,0.5,100,NA,NA,NA,NA,NA
"theta[7]",0.968132671161145,0.968190794732812,0.968281640746716,20000,0.95,0.963373633514465,0.972945807853201,0.5,100,NA,NA,NA,NA,NA
"theta[8]",0.959963831971717,0.960014257896006,0.959996640634908,20000,0.95,0.95476313021094,0.965282995545849,0.5,100,NA,NA,NA,NA,NA
"theta[9]",0.950002626670246,0.95007222732575,0.949795048015033,19958.3,0.95,0.944022693146711,0.95585964408742,0.5,100,NA,NA,NA,NA,NA
"theta[10]",0.955933189050189,0.956010299120004,0.956315088415796,20000,0.95,0.949963018135948,0.961947061709463,0.5,100,NA,NA,NA,NA,NA
"theta[11]",0.953730765054681,0.953806227118638,0.953789611415797,20000,0.95,0.94748842772785,0.95980639161528,0.5,100,NA,NA,NA,NA,NA
"theta[12]",0.955682966939453,0.955735252244218,0.955613459162192,20000,0.95,0.949899303003618,0.961675160136881,0.5,100,NA,NA,NA,NA,NA
"theta[13]",0.948104497263745,0.94813246181794,0.947842844401641,20000,0.95,0.941841416781881,0.954585516064223,0.5,100,NA,NA,NA,NA,NA
"theta[14]",0.944806612448292,0.944877957180558,0.945045083801144,20000,0.95,0.938113434652992,0.951205676686061,0.5,100,NA,NA,NA,NA,NA
"theta[15]",0.942952947238959,0.942993755876957,0.94291836151884,20000,0.95,0.936781952704177,0.948986416951382,0.5,100,NA,NA,NA,NA,NA
"theta[16]",0.956445084670543,0.956513136119439,0.956804975067088,20574.9,0.95,0.950525242626139,0.962343478788836,0.5,100,NA,NA,NA,NA,NA
"theta[17]",0.954085163922966,0.954139510042431,0.954075656412593,20000,0.95,0.94819391006883,0.960052055821456,0.5,100,NA,NA,NA,NA,NA
"theta[18]",0.963743931591444,0.963796335656742,0.963406813433143,21192,0.95,0.958700450577181,0.968837944727317,0.5,100,NA,NA,NA,NA,NA
"theta[19]",0.953262549059221,0.953308595442108,0.95344649332884,20000,0.95,0.947747817836317,0.958760187824027,0.5,100,NA,NA,NA,NA,NA
"theta[20]",0.936601890703131,0.936664285133998,0.937245122858126,20000,0.95,0.930352352934066,0.943031213129987,0.5,100,NA,NA,NA,NA,NA
"theta[21]",0.940985279374521,0.941036000752108,0.941005377953948,20157.7,0.95,0.934377763030936,0.947745846090949,0.5,100,NA,NA,NA,NA,NA
"theta[22]",0.963500903024099,0.963550065850317,0.963488226064505,20000,0.95,0.95837450028278,0.968633043648035,0.5,100,NA,NA,NA,NA,NA
"theta[23]",0.95461758766066,0.954678166376228,0.954613761946843,20000,0.95,0.948868207096825,0.96033907288365,0.5,100,NA,NA,NA,NA,NA
"theta[24]",0.959665850859335,0.959698195737459,0.959680116422497,20556,0.95,0.953825736413635,0.965555268342101,0.5,100,NA,NA,NA,NA,NA
"theta[25]",0.942908586260638,0.942959959860278,0.943722854069486,20144.2,0.95,0.935605793170832,0.950059077070855,0.5,100,NA,NA,NA,NA,NA
"theta[26]",0.948309896979797,0.948362993045896,0.949133212621972,19350.7,0.95,0.941862351259161,0.954711289602144,0.5,100,NA,NA,NA,NA,NA
"theta[27]",0.955337395383916,0.955395389288499,0.955552912237462,20000,0.95,0.949278189759122,0.960967563411948,0.5,100,NA,NA,NA,NA,NA
"theta[28]",0.944295180463726,0.944343536826344,0.944412816512482,20000,0.95,0.937665041613255,0.950872543788287,0.5,100,NA,NA,NA,NA,NA
"theta[29]",0.937100050267191,0.937145343660423,0.936783427134438,20000,0.95,0.929926164154194,0.943852769438504,0.5,100,NA,NA,NA,NA,NA
"theta[30]",0.962555997166421,0.962640152933186,0.962463210383867,20000,0.95,0.956740088770679,0.968003071054792,0.5,100,NA,NA,NA,NA,NA
"theta[31]",0.959552679614576,0.959691287115684,0.95975645761045,20000,0.95,0.951344112280781,0.967549534748505,0.5,100,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.0103788301362554,0.0104082772206356,0.0105156124221746,20000,0.95,0.00249415813154508,0.0184429968198916,0,99.44,NA,NA,NA,NA,NA
"theta[1]-theta[3]",0.0207895368555345,0.020819414762683,0.0209215580610674,19276.4,0.95,0.0121404765277942,0.0297221130104816,0,100,NA,NA,NA,NA,NA
"theta[1]-theta[4]",0.011005004136709,0.010953581804459,0.010845020629314,19028.8,0.95,0.00273712716855468,0.0195450636409851,0,99.525,NA,NA,NA,NA,NA
"theta[1]-theta[5]",0.0073547177373025,0.00733782784108356,0.00774484945959903,20000,0.95,-0.000205234829707579,0.0154765859802856,0,96.805,NA,NA,NA,NA,NA
"theta[1]-theta[6]",0.00395827109511829,0.00395195758676858,0.00332536080731323,20000,0.95,-0.00394732193364478,0.0112836966362034,0,84.38,NA,NA,NA,NA,NA
"theta[1]-theta[7]",-0.00374882493393307,-0.00372698983276509,-0.00368203392495655,20000,0.95,-0.0109808547884228,0.00361443517994275,0,15.495,NA,NA,NA,NA,NA
"theta[1]-theta[8]",0.00442001425549496,0.00444662879722968,0.00468895578967018,20000,0.95,-0.00285787968111639,0.0121804929437324,0,87.2,NA,NA,NA,NA,NA
"theta[1]-theta[9]",0.0143812195569664,0.0143734831638174,0.014218232168062,20000,0.95,0.00637230545005218,0.0222632807351165,0,99.96,NA,NA,NA,NA,NA
"theta[1]-theta[10]",0.00845065717702281,0.00846061772844181,0.00902480772553733,20000,0.95,0.000703531720067985,0.01673879971051,0,97.965,NA,NA,NA,NA,NA
"theta[1]-theta[11]",0.0106530811725306,0.010683563544054,0.0109397223799521,20000,0.95,0.00246160335837831,0.0188669591504868,0,99.475,NA,NA,NA,NA,NA
"theta[1]-theta[12]",0.00870087928775934,0.00871405521236568,0.00886234239191111,20000,0.95,0.000743463016422363,0.016578079166073,0,98.47,NA,NA,NA,NA,NA
"theta[1]-theta[13]",0.0162793489634675,0.0162627232986222,0.0163320504570491,20000,0.95,0.00771501858940082,0.0245226555515673,0,99.995,NA,NA,NA,NA,NA
"theta[1]-theta[14]",0.0195772337789201,0.0195497935444164,0.0196134292824546,20000,0.95,0.0111132568575528,0.0279391888105462,0,100,NA,NA,NA,NA,NA
"theta[1]-theta[15]",0.0214308989882536,0.021473222684727,0.0220973653006899,19065.9,0.95,0.0132752467613695,0.0295304848163108,0,100,NA,NA,NA,NA,NA
"theta[1]-theta[16]",0.00793876155666894,0.00791279568769598,0.00781326656888967,20602.9,0.95,0.000140337333311535,0.0159845360263342,0,97.52,NA,NA,NA,NA,NA
"theta[1]-theta[17]",0.0102986823042456,0.0103057454777853,0.0104416270063941,20000,0.95,0.00223558041441507,0.0181671406413405,0,99.455,NA,NA,NA,NA,NA
"theta[1]-theta[18]",0.000639914635767668,0.000632105682048689,0.00084805776963412,20000,0.95,-0.00669026566210584,0.0081269175972627,0,56.665,NA,NA,NA,NA,NA
