"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.855095217635398,0.855308223251617,0.855735013364211,10000,0.95,0.834976337768423,0.873811918834286,0.5,100,0.45,0.55,0,0,100
"theta[2]",0.962396171472527,0.962398976852294,0.962464969549123,10000,0.95,0.960825930413471,0.963967422016993,0.5,100,0.45,0.55,0,0,100
"theta[3]",0.968034636736255,0.968102912532238,0.968507713049838,9976,0.95,0.962995776811942,0.972998541368541,0.5,100,0.45,0.55,0,0,100
"theta[4]",0.839350330392023,0.839337906576303,0.838682827317743,10000,0.95,0.822988236520456,0.855146341860766,0.5,100,0.45,0.55,0,0,100
"theta[5]",0.960680473595851,0.960682800929472,0.960657336180023,10000,0.95,0.959223587646257,0.962196111041045,0.5,100,0.45,0.55,0,0,100
"theta[6]",0.856944652750854,0.856972373332485,0.857329455148518,10000,0.95,0.848709997518306,0.865320187571853,0.5,100,0.45,0.55,0,0,100
"theta[7]",0.94365164833665,0.943702584371897,0.943874536283964,10087.8,0.95,0.937991536410302,0.949668165406556,0.5,100,0.45,0.55,0,0,100
"theta[1]-theta[2]",-0.107300953837129,-0.107113687283397,-0.106084180364379,10000,0.95,-0.126386827828556,-0.0875981093124482,0,0,NA,NA,NA,NA,NA
"theta[1]-theta[3]",-0.112939419100857,-0.112869602359618,-0.113231385002319,10000,0.95,-0.133029226496298,-0.0929096077817202,0,0,NA,NA,NA,NA,NA
"theta[1]-theta[4]",0.015744887243375,0.0160426501696988,0.017765348442676,10000,0.95,-0.00933938692383884,0.0412249774331462,0,88.78,NA,NA,NA,NA,NA
"theta[1]-theta[5]",-0.105585255960454,-0.105432935035693,-0.105006981719958,10000,0.95,-0.125225683145862,-0.0863948293502043,0,0,NA,NA,NA,NA,NA
"theta[1]-theta[6]",-0.00184943511545666,-0.00182966959840336,-0.00258438805807035,9284,0.95,-0.0229669420782651,0.0186863074656367,0,43.46,NA,NA,NA,NA,NA
"theta[1]-theta[7]",-0.0885564307012521,-0.0884281320649344,-0.0886809342021867,10000,0.95,-0.10906325700896,-0.0684628986680381,0,0,NA,NA,NA,NA,NA
"theta[2]-theta[3]",-0.00563846526372802,-0.00567753697245971,-0.00561110732698971,10000,0.95,-0.0107995844030704,-0.000339703583258189,0,2.1,NA,NA,NA,NA,NA
"theta[2]-theta[4]",0.123045841080504,0.123019074449345,0.123189859228926,10000,0.95,0.106713113305757,0.138996101860769,0,100,NA,NA,NA,NA,NA
"theta[2]-theta[5]",0.00171569787667576,0.00171020338136996,0.00174446002714786,10000,0.95,-0.000473778148351589,0.00382979516491044,0,94.05,NA,NA,NA,NA,NA
"theta[2]-theta[6]",0.105451518721673,0.10545552474283,0.105762956113754,10000,0.95,0.097420084894297,0.114325539403931,0,100,NA,NA,NA,NA,NA
"theta[2]-theta[7]",0.0187445231358772,0.0187309585248542,0.01887890579678,10000,0.95,0.0126962656230337,0.0248819286832109,0,100,NA,NA,NA,NA,NA
"theta[3]-theta[4]",0.128684306344232,0.128672619041614,0.129301021266418,10000,0.95,0.111652684319604,0.145557415626445,0,100,NA,NA,NA,NA,NA
"theta[3]-theta[5]",0.00735416314040378,0.00740880804748362,0.00748979677676568,10000,0.95,0.00226393660997737,0.0126741276260197,0,99.56,NA,NA,NA,NA,NA
"theta[3]-theta[6]",0.111089983985401,0.111066070607041,0.110823477059794,10000,0.95,0.101339335932035,0.120638310106145,0,100,NA,NA,NA,NA,NA
"theta[3]-theta[7]",0.0243829883996052,0.0243692500195104,0.0243581013044306,10000,0.95,0.0169354170515605,0.0322340083103407,0,100,NA,NA,NA,NA,NA
"theta[4]-theta[5]",-0.121330143203829,-0.121305636907933,-0.121854801265148,10000,0.95,-0.137964321301019,-0.105874240338466,0,0,NA,NA,NA,NA,NA
"theta[4]-theta[6]",-0.0175943223588316,-0.017554412686654,-0.0180470568287613,10000,0.95,-0.0362733319000704,-0.000158753267804013,0,2.61,NA,NA,NA,NA,NA
"theta[4]-theta[7]",-0.104301317944627,-0.104267365065648,-0.104168318128674,10000,0.95,-0.121741527672835,-0.0871045180542181,0,0,NA,NA,NA,NA,NA
"theta[5]-theta[6]",0.103735820844997,0.103725967960251,0.103210102878551,10000,0.95,0.0954875820274683,0.112390994946261,0,100,NA,NA,NA,NA,NA
"theta[5]-theta[7]",0.0170288252592014,0.0170097321416098,0.0175758637230772,10000,0.95,0.0110934470239908,0.0231231885850119,0,100,NA,NA,NA,NA,NA
"theta[6]-theta[7]",-0.0867069955857955,-0.0867315793797933,-0.0871250776772744,10000,0.95,-0.0967250438942502,-0.0765734346606818,0,0,NA,NA,NA,NA,NA
