"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.960839217681074,0.960503612402762,0.959523553959197,20000,0.95,0.94253656789922,0.978826002329936,0.5,100,NA,NA,NA,NA,NA
"kappa",59.5969683840646,56.657257946861,52.3125406472336,20000,0.95,19.8241897078067,103.62488796284,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.962534207648622,0.962554833572385,0.962451741493358,20000,0.95,0.95900230460391,0.966001604227289,0.5,100,NA,NA,NA,NA,NA
"theta[2]",0.960406688117616,0.960457649562741,0.960653026689701,20000,0.95,0.956606480811191,0.964058040276759,0.5,100,NA,NA,NA,NA,NA
"theta[3]",0.96629680171341,0.966322686885112,0.966291655790074,20000,0.95,0.963173037792326,0.969526621209364,0.5,100,NA,NA,NA,NA,NA
"theta[4]",0.952766417441755,0.952798077540995,0.953009443638669,20000,0.95,0.948881540168511,0.956588718445929,0.5,100,NA,NA,NA,NA,NA
"theta[5]",0.947651069156675,0.947688231626174,0.947696718664211,20000,0.95,0.94315688330078,0.951716717760978,0.5,100,NA,NA,NA,NA,NA
"theta[6]",0.945695693252952,0.945708989781831,0.945473447018115,20000,0.95,0.941444628509278,0.949933809961387,0.5,100,NA,NA,NA,NA,NA
"theta[7]",0.952121109051573,0.952137080415806,0.951864172338612,20000,0.95,0.948118829118151,0.956147530675272,0.5,100,NA,NA,NA,NA,NA
"theta[8]",0.945110355456906,0.945134813217911,0.945030095091092,20000,0.95,0.941005903275745,0.949185833987952,0.5,100,NA,NA,NA,NA,NA
"theta[9]",0.946204573208249,0.946240319950497,0.946176748867338,20000,0.95,0.942077367247043,0.950087819524199,0.5,100,NA,NA,NA,NA,NA
"theta[10]",0.947312954393584,0.947345776059008,0.947420708414581,20504.9,0.95,0.943515430706581,0.951054741546834,0.5,100,NA,NA,NA,NA,NA
"theta[11]",0.955852185126441,0.955871167919791,0.955974699003651,19583,0.95,0.95239901777463,0.959414366416119,0.5,100,NA,NA,NA,NA,NA
"theta[12]",0.954513109106117,0.954545980204137,0.954664135883423,20508.5,0.95,0.951034922002445,0.957896086339537,0.5,100,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.00212751953100626,0.00212675374124088,0.00203167429361128,20000,0.95,-0.00284039340408249,0.00739424939780842,0,79.215,NA,NA,NA,NA,NA
"theta[1]-theta[3]",-0.00376259406478817,-0.00372334761315818,-0.00350373467184588,20000,0.95,-0.00848543142280977,0.00097765868115085,0,5.885,NA,NA,NA,NA,NA
"theta[1]-theta[4]",0.00976779020686736,0.00976405791764967,0.010038655715472,20000,0.95,0.00457346965203886,0.0150366545232605,0,99.99,NA,NA,NA,NA,NA
"theta[1]-theta[5]",0.0148831384919465,0.0148684266571746,0.0149665647078832,19148,0.95,0.00932476514265246,0.0203701872509364,0,100,NA,NA,NA,NA,NA
"theta[1]-theta[6]",0.0168385143956695,0.0168325181964473,0.0167571843783954,20000,0.95,0.0112705103515511,0.0223599919189275,0,100,NA,NA,NA,NA,NA
"theta[1]-theta[7]",0.010413098597049,0.0103948345379012,0.0101905692223832,20000,0.95,0.00492964965576903,0.015563551716736,0,100,NA,NA,NA,NA,NA
"theta[1]-theta[8]",0.0174238521917161,0.01741860438612,0.0173874650315393,20484.9,0.95,0.0120407332871668,0.0228430612525269,0,100,NA,NA,NA,NA,NA
"theta[1]-theta[9]",0.0163296344403728,0.0163158774172035,0.0160731563722979,20000,0.95,0.011058479304027,0.0218174816753013,0,100,NA,NA,NA,NA,NA
"theta[1]-theta[10]",0.0152212532550379,0.0151889275482493,0.0149756362454921,20000,0.95,0.00994836672556043,0.0202852737291539,0,100,NA,NA,NA,NA,NA
"theta[1]-theta[11]",0.00668202252218119,0.00668461122175229,0.00684121523133464,20000,0.95,0.00174188507648221,0.0116568289268658,0,99.54,NA,NA,NA,NA,NA
"theta[1]-theta[12]",0.0080210985425048,0.00800944272612597,0.00809550745028209,20000,0.95,0.00337754227083698,0.0131489826130657,0,99.945,NA,NA,NA,NA,NA
"theta[2]-theta[3]",-0.00589011359579443,-0.00585947021480082,-0.00544465488841807,20000,0.95,-0.010723063614449,-0.000922281258491586,0,0.905,NA,NA,NA,NA,NA
"theta[2]-theta[4]",0.0076402706758611,0.0076397613323444,0.00783733972545224,20000,0.95,0.00224735749993932,0.0129714408630935,0,99.75,NA,NA,NA,NA,NA
"theta[2]-theta[5]",0.0127556189609402,0.0127736135673578,0.0130103471867192,19238.1,0.95,0.00701365616516525,0.0182912964716966,0,100,NA,NA,NA,NA,NA
"theta[2]-theta[6]",0.0147109948646633,0.0147038761156939,0.0145434031763114,20000,0.95,0.00889709281590811,0.0202985334392101,0,100,NA,NA,NA,NA,NA
"theta[2]-theta[7]",0.00828557906604279,0.00828516797191214,0.00798598590292692,20000,0.95,0.00286633331301622,0.0138302093664869,0,99.83,NA,NA,NA,NA,NA
"theta[2]-theta[8]",0.0152963326607098,0.0152917912018961,0.0150561989500909,20474.1,0.95,0.00971216020553622,0.0208289714935426,0,100,NA,NA,NA,NA,NA
"theta[2]-theta[9]",0.0142021149093665,0.0142043030711111,0.014338802393275,20000,0.95,0.00865893809037777,0.0195952251779667,0,100,NA,NA,NA,NA,NA
"theta[2]-theta[10]",0.0130937337240316,0.0131053274701821,0.0129454523226978,21291.3,0.95,0.00760925559743297,0.0182914389986518,0,100,NA,NA,NA,NA,NA
"theta[2]-theta[11]",0.00455450299117493,0.00456009894506187,0.00456177788667541,20000,0.95,-0.000680387183109477,0.00960610840929244,0,95.865,NA,NA,NA,NA,NA
"theta[2]-theta[12]",0.00589357901149854,0.00589963152334783,0.00585614633291477,20478,0.95,0.000587799648408605,0.010812577450159,0,98.795,NA,NA,NA,NA,NA
"theta[3]-theta[4]",0.0135303842716555,0.013533991465373,0.0133480157905759,20000,0.95,0.00853616695937276,0.0185993289455975,0,100,NA,NA,NA,NA,NA
"theta[3]-theta[5]",0.0186457325567346,0.0186225513666998,0.0184596209013143,18856.2,0.95,0.01345666013425,0.0239934004806055,0,100,NA,NA,NA,NA,NA
"theta[3]-theta[6]",0.0206011084604577,0.0205965840637579,0.0206602389468682,20072.4,0.95,0.0152664678508152,0.0259125036198399,0,100,NA,NA,NA,NA,NA
