State,Certified,Total
AK,33,36
AL,594,632
AR,518,544
AZ,1110,1207
CA,33172,34616
CO,963,1031
CT,1302,1370
DC,476,508
DE,495,546
FL,3791,4088
GA,3902,4226
HI,77,89
IA,436,451
ID,213,227
IL,6056,6380
IN,1019,1060
KS,420,441
KY,629,656
LA,325,367
MA,5003,5143
MD,1623,1727
ME,90,93
MI,4572,4746
MN,1060,1092
MO,1196,1245
MS,70,89
MT,28,35
NC,3067,3399
ND,116,119
NE,469,505
NH,229,237
NJ,11753,12293
NM,131,150
NV,230,251
NY,9823,10340
OH,1913,1998
OK,245,266
OR,327,347
PA,3958,4100
PR,16,20
RI,339,354
SC,733,787
SD,91,91
TN,738,767
TX,19144,20069
UT,379,418
VA,3939,4197
VT,167,176
WA,6988,7082
WI,1057,1087
WV,59,62
WY,29,34
