"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.918411921863455,0.926325747629233,0.947347162501523,9999.7,0.95,0.829438027317317,0.989996498258502,0.5,100,0.45,0.55,0,0,100
"theta[2]",0.935847935017229,0.936360144268724,0.938195290174793,10000,0.95,0.917707552159277,0.954926166844924,0.5,100,0.45,0.55,0,0,100
"theta[3]",0.95333944350306,0.953835209347,0.953396820645837,10328.7,0.95,0.935305699707821,0.970890169520938,0.5,100,0.45,0.55,0,0,100
"theta[4]",0.923247589558718,0.923397251981158,0.92369279421218,9701.2,0.95,0.908670199195975,0.938523663404495,0.5,100,0.45,0.55,0,0,100
"theta[5]",0.958099548121077,0.958109202684342,0.958354119071677,10000,0.95,0.956005544228509,0.960206674744302,0.5,100,0.45,0.55,0,0,100
"theta[6]",0.930959631427739,0.931205409160208,0.932436682580599,9453.5,0.95,0.915454554860923,0.946077144484885,0.5,100,0.45,0.55,0,0,100
"theta[7]",0.947546864555491,0.947755745037698,0.947976412016885,10000,0.95,0.935736053196007,0.959268428126715,0.5,100,0.45,0.55,0,0,100
"theta[8]",0.945348741723703,0.945731935589346,0.947798987454352,10000,0.95,0.926103871984597,0.964219232631365,0.5,100,0.45,0.55,0,0,100
"theta[9]",0.908404641225402,0.908903424959432,0.907704700009759,10000,0.95,0.884289071895802,0.932720124120048,0.5,100,0.45,0.55,0,0,100
"theta[10]",0.927762632130481,0.927834152367236,0.927949237061358,10631.7,0.95,0.919788352524203,0.935600582788396,0.5,100,0.45,0.55,0,0,100
"theta[11]",0.924395282877499,0.924463693814008,0.92527400961038,10000,0.95,0.91663693369214,0.932140716108888,0.5,100,0.45,0.55,0,0,100
"theta[12]",0.90283270526381,0.905634135061731,0.910058079087182,10000,0.95,0.845308064033064,0.955748001990223,0.5,100,0.45,0.55,0,0,100
"theta[13]",0.967718380233473,0.968272890258714,0.96858344329356,10000,0.95,0.951940718083871,0.983246358749379,0.5,100,0.45,0.55,0,0,100
