"","y","s"
"1",1,"INDIA"
"2",1,"IRAN"
"3",1,"INDIA"
"4",1,"INDIA"
"5",1,"INDIA"
"6",1,"INDIA"
"7",1,"INDIA"
"8",1,"NEPAL"
"9",1,"INDIA"
"10",1,"INDIA"
"11",1,"INDIA"
"12",1,"INDIA"
"13",1,"INDIA"
"14",1,"CHINA"
"15",1,"INDIA"
"16",1,"INDIA"
"17",1,"INDIA"
"18",0,"INDIA"
"19",0,"INDIA"
"20",1,"INDIA"
"21",1,"INDIA"
"22",1,"INDIA"
"23",1,"INDIA"
"24",1,"INDIA"
"25",1,"VIETNAM"
"26",1,"INDIA"
"27",1,"INDIA"
"28",1,"INDIA"
"29",1,"INDIA"
"30",0,"INDIA"
"31",1,"CHINA"
"32",1,"INDIA"
"33",1,"INDIA"
"34",1,"INDIA"
"35",1,"CHINA"
"36",1,"INDIA"
"37",1,"CHINA"
"38",1,"INDIA"
"39",1,"CHINA"
"40",1,"INDIA"
"41",0,"MALAYSIA"
"42",1,"BANGLADESH"
"43",1,"CANADA"
"44",1,"INDIA"
"45",1,"INDIA"
"46",1,"INDIA"
"47",1,"ITALY"
"48",1,"SINGAPORE"
"49",1,"CANADA"
"50",1,"CHINA"
"51",1,"MEXICO"
"52",1,"UNITED_KINGDOM"
"53",1,"EGYPT"
"54",1,"INDIA"
"55",1,"VIETNAM"
"56",1,"FRANCE"
"57",1,"INDIA"
"58",1,"INDIA"
"59",1,"FRANCE"
"60",1,"INDIA"
"61",1,"INDIA"
"62",1,"INDIA"
"63",1,"INDIA"
"64",1,"INDIA"
"65",1,"INDIA"
"66",1,"INDIA"
"67",1,"CANADA"
"68",1,"VENEZUELA"
"69",1,"MEXICO"
"70",1,"JAPAN"
"71",1,"INDIA"
"72",1,"INDIA"
"73",1,"MEXICO"
"74",1,"INDIA"
"75",1,"INDIA"
"76",1,"INDIA"
"77",1,"INDIA"
"78",1,"VENEZUELA"
"79",1,"INDIA"
"80",1,"INDIA"
"81",1,"INDIA"
"82",1,"INDIA"
"83",1,"INDIA"
"84",1,"INDIA"
"85",1,"INDIA"
"86",1,"CANADA"
"87",1,"INDIA"
"88",1,"INDIA"
"89",1,"INDIA"
"90",1,"IRELAND"
"91",1,"CHINA"
"92",1,"CHINA"
"93",1,"INDIA"
"94",1,"INDIA"
"95",1,"CANADA"
"96",1,"INDIA"
"97",1,"CANADA"
"98",1,"INDIA"
"99",1,"INDIA"
"100",1,"INDIA"
"101",1,"CHINA"
"102",1,"CHINA"
"103",0,"INDIA"
"104",1,"INDIA"
"105",0,"CHINA"
"106",1,"INDIA"
"107",1,"INDIA"
"108",1,"INDIA"
"109",1,"INDIA"
"110",1,"ISRAEL"
"111",1,"TAIWAN"
"112",1,"ITALY"
"113",1,"INDONESIA"
"114",1,"INDIA"
"115",1,"INDIA"
"116",1,"INDIA"
"117",1,"PAKISTAN"
"118",1,"INDIA"
"119",1,"MEXICO"
"120",1,"PAKISTAN"
"121",1,"INDIA"
"122",1,"CANADA"
"123",1,"INDIA"
"124",1,"CHINA"
"125",1,"INDIA"
"126",1,"INDIA"
"127",1,"INDIA"
"128",0,"INDIA"
"129",1,"VENEZUELA"
"130",1,"INDIA"
"131",1,"CANADA"
"132",1,"CHINA"
"133",1,"INDIA"
"134",1,"INDIA"
"135",1,"INDIA"
"136",1,"INDIA"
"137",1,"INDIA"
"138",1,"INDIA"
"139",0,"TAIWAN"
"140",0,"PHILIPPINES"
"141",1,"JAMAICA"
"142",1,"SOUTH_AFRICA"
"143",1,"SOUTH_AFRICA"
"144",1,"SOUTH_AFRICA"
"145",1,"LEBANON"
"146",1,"SOUTH_AFRICA"
"147",1,"SOUTH_AFRICA"
"148",1,"INDIA"
"149",0,"INDIA"
"150",0,"INDIA"
"151",0,"CANADA"
"152",0,"INDIA"
"153",0,"INDIA"
"154",0,"INDIA"
"155",0,"INDIA"
"156",0,"INDIA"
"157",0,"INDIA"
"158",0,"INDIA"
"159",0,"INDIA"
"160",0,"INDIA"
"161",0,"INDIA"
"162",0,"INDIA"
"163",0,"INDIA"
"164",0,"INDIA"
"165",0,"INDIA"
"166",0,"INDIA"
"167",0,"INDIA"
"168",0,"INDIA"
"169",0,"INDIA"
"170",0,"INDIA"
"171",0,"INDIA"
"172",0,"INDIA"
"173",0,"INDIA"
"174",0,"INDIA"
"175",0,"INDIA"
"176",0,"INDIA"
"177",0,"INDIA"
"178",0,"INDIA"
"179",0,"INDIA"
"180",0,"INDIA"
"181",0,"INDIA"
"182",0,"INDIA"
"183",0,"INDIA"
"184",0,"INDIA"
"185",0,"INDIA"
"186",0,"INDIA"
"187",0,"INDIA"
"188",0,"INDIA"
"189",0,"INDIA"
"190",0,"INDIA"
"191",0,"INDIA"
"192",1,"PAKISTAN"
"193",0,"LEBANON"
"194",1,"INDIA"
"195",1,"INDIA"
"196",1,"INDIA"
"197",1,"INDIA"
"198",1,"INDIA"
"199",1,"INDIA"
"200",1,"INDIA"
"201",1,"INDIA"
"202",1,"SPAIN"
"203",1,"INDIA"
"204",1,"SOUTH_AFRICA"
"205",1,"CANADA"
"206",1,"INDIA"
"207",1,"CANADA"
"208",1,"INDIA"
"209",1,"CANADA"
"210",1,"INDIA"
